year,sightings
1800,3
1833,1
1851,1
1869,1
1872,1
1875,1
1877,1
1882,1
1883,1
1885,1
1890,1
1891,2
1892,3
1893,1
1899,8
1900,9
1901,4
1905,45
1906,1
1908,1
1909,456
1910,1
1911,1
1913,165
1915,1
1916,1
1917,1
1923,1
1924,1
1925,1
1927,1
1929,1
1931,1
1932,3
1933,3
1934,3
1935,38
1936,27
1937,11
1938,17
1939,10
1940,96
1942,5
1943,5
1944,2
1945,4
1946,14
1947,15
1948,8
1949,10
1950,12
1951,6
1952,11
1953,2
1954,23
1955,8
1956,15
1957,25
1958,22
1959,20
1960,54
1961,51
1962,45
1963,60
1964,127
1965,223
1966,408
1967,386
1968,263
1969,387
1970,268
1971,326
1972,385
1973,270
1974,182
1975,237
1976,332
1977,223
1978,371
1979,298
1980,414
1981,446
1982,329
1983,318
1984,302
1985,221
1986,171
1987,175
1988,188
1989,155
1990,394
1991,382
1992,398
1993,432
1994,388
1995,1021
1996,1225
1997,1221
1998,1290
1999,1517
2000,1606
2001,1639
2002,1600
2003,3495
2004,4518
2005,5229
2006,6327
2007,17027
2008,8738
2009,10756
2010,12344
2011,18583
2012,13653
2013,15817
2014,15795
2015,17076
2016,2336
2017,556
2018,6
