Common,Species,lon,lat,Country,State/Province,Year
Fox,Vulpes vulpes,-2.65444,51.83179,United Kingdom,England,1800
Fox,Vulpes vulpes,-4.09246,51.54521,United Kingdom,Wales,1800
Fox,Vulpes vulpes,-4.09246,51.54521,United Kingdom,Wales,1800
Peregrine,Falco peregrinus,-4.1,51.5,United Kingdom,Wales,1800
Peregrine,Falco peregrinus,-4,51.6,United Kingdom,Wales,1800
Fox,Vulpes vulpes,-1.78759,55.55002,United Kingdom,England,1833
Fox,Vulpes vulpes,-2.13757,55.91851,United Kingdom,Scotland,1851
Fox,Vulpes vulpes,-4.97768,58.17904,United Kingdom,Scotland,1869
Peregrine,Falco peregrinus,-3.3,59.2,United Kingdom,Scotland,1870
Fox,Vulpes vulpes,-2.08074,55.51873,United Kingdom,England,1872
Fox,Vulpes vulpes,-2.29764,55.92721,United Kingdom,Scotland,1875
Fox,Vulpes vulpes,-4.96996,56.02209,United Kingdom,Scotland,1877
Fox,Vulpes vulpes,-2.39658,55.42825,United Kingdom,Scotland,1882
Fox,Vulpes vulpes,-1.92724,52.82251,United Kingdom,England,1883
Peregrine,Falco peregrinus,0,52.4,United Kingdom,England,1883
Fox,Vulpes vulpes,-1.92709,52.9124,United Kingdom,England,1885
Peregrine,Falco peregrinus,-1.6,55.6,United Kingdom,England,1887
Fox,Vulpes vulpes,-2.67338,53.0903,United Kingdom,England,1890
Fox,Vulpes vulpes,-2.36032,55.78329,United Kingdom,Scotland,1891
Fox,Vulpes vulpes,-2.36048,55.80126,United Kingdom,Scotland,1891
Fox,Vulpes vulpes,-0.91524,51.7387,United Kingdom,England,1892
Fox,Vulpes vulpes,-2.67338,53.0903,United Kingdom,England,1892
Fox,Vulpes vulpes,-0.62295,51.82555,United Kingdom,England,1892
Peregrine,Falco peregrinus,-3.3,54.9,United Kingdom,England,1892
Fox,Vulpes vulpes,-2.82268,53.08936,United Kingdom,England,1893
Peregrine,Falco peregrinus,-0.3,52.6,United Kingdom,England,1894
Fox,Vulpes vulpes,-1.32388,53.44985,United Kingdom,England,1899
Fox,Vulpes vulpes,-3.08326,51.55887,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-3.95219,51.63756,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-3.22748,51.55745,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-3.94834,51.5477,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-3.08326,51.55887,United Kingdom,Wales,1899
